## RECSRecommendations Upload File,,,,,,,,,,,,,,,,,,,,,
## RECS''## RECS'' indicates a Recommendations pre-process header. Please do not remove these lines.,,,,,,,,,,,,,,,,,,,,,
## RECS,,,,,,,,,,,,,,,,,,,,,
## RECSUse this file to upload product display information to Recommendations. Each product has its own row. Each line must contain 19 values and if not all are filled a space should be left.,,,,,,,,,,,,,,,,,,,,,
## RECSThe last 100 columns (entity.custom1 - entity.custom100) are custom. The name 'customN' can be replaced with a custom name such as 'onSale' or 'brand'.,,,,,,,,,,,,,,,,,,,,,
## RECSIf the products already exist in Recommendations then changes uploaded here will override the data in Recommendations. Any new attributes entered here will be added to the product''s entry in Recommendations.,,,,,,,,,,,,,,,,,,,,,
entity.id,entity.name,entity.categoryId,entity.message,entity.thumbnailUrl,entity.value,entity.url,entity.inventory,entity.margin,entity.warehousecode,entity.endesc,entity.esdesc,entity.productType,entity.parentId,entity.visibility,entity.pack,entity.stockStatus,entity.stockQuantity,entity.netContent,entity.material,entity.brand,entity.flavor
220,Bebida base de soya AdeS con jugo de durazno 200 ml,"68, 69, 978, 981",,https://www.coca-colaentuhogar.com/media/catalog/product/d/e/des_ades_kids_vis19_drzn_200ml_4.jpg,,https://www.coca-colaentuhogar.com/bebida-base-de-soya-ades-con-jugo-de-durazno-200-ml-carton.html,,,,,Bebida de soya AdeS sabor Durazno 200 ml,configurable,,"Catalog, Search",,,,200 ml,Carton,AdeS,Durazno
221,Bebida base de soya AdeS con jugo de durazno 200 ml 4 Tetra Bricks,"68, 69, 125, 126, 978, 981",,https://www.coca-colaentuhogar.com/media/catalog/product/d/e/des_ades_kids_vis19_drzn_200ml_4.jpg,,https://www.coca-colaentuhogar.com/bebida-base-de-soya-ades-con-jugo-de-durazno-200-ml-carton.html,,,"[""c01"", ""c102"", ""c116"", ""c120"", ""c127"", ""c131"", ""c26"", ""c28"", ""c29"", ""c30"", ""c31"", ""c32"", ""c33"", ""c34"", ""c35"", ""c36"", ""c37"", ""c38"", ""c39"", ""c40"", ""c41"", ""c42"", ""c43"", ""c44"", ""c46"", ""c47"", ""c48"", ""c49"", ""c50"", ""c98"", ""c99""]",,Bebida de soya AdeS sabor Durazno 200 ml 4 cajas,simple,220,Not Visible Individually,4 Tetra Bricks,In stock,99999,200 ml,Carton,AdeS,Durazno
222,Bebida base de soya AdeS con jugo de mango 200 ml,"68, 69, 978, 981",,https://www.coca-colaentuhogar.com/media/catalog/product/d/e/des_ades_kids_vis19_mango_200ml_4.jpg,,https://www.coca-colaentuhogar.com/bebida-base-de-soya-ades-con-jugo-de-mango-200-ml-carton.html,,,,,Bebida de Soya sabor Mango AdeS 200 ml a domicilio,configurable,,"Catalog, Search",,,,200 ml,Carton,AdeS,Mango
223,Bebida base de soya AdeS con jugo de mango 200 ml 4 Tetra Bricks,"68, 69, 125, 126, 978, 981",,https://www.coca-colaentuhogar.com/media/catalog/product/d/e/des_ades_kids_vis19_mango_200ml_4.jpg,,https://www.coca-colaentuhogar.com/bebida-base-de-soya-ades-con-jugo-de-mango-200-ml-carton.html,,,"[""c01"", ""c02"", ""c100"", ""c102"", ""c105"", ""c107"", ""c108"", ""c111"", ""c113"", ""c118"", ""c123"", ""c131"", ""c135"", ""c26"", ""c28"", ""c29"", ""c30"", ""c31"", ""c32"", ""c33"", ""c34"", ""c35"", ""c36"", ""c38"", ""c39"", ""c40"", ""c41"", ""c42"", ""c43"", ""c46"", ""c47"", ""c48"", ""c49"", ""c50"", ""c92"", ""c95"", ""c98"", ""c99""]",,Bebida de Soya sabor Mango AdeS 200 ml 4 cajas,simple,222,Not Visible Individually,4 Tetra Bricks,In stock,99999,200 ml,Carton,AdeS,Mango
224,Bebida base de soya AdeS con jugo de manzana 200 ml,"68, 69, 85, 978, 981",,https://www.coca-colaentuhogar.com/media/catalog/product/7/5/7501005114509_0.jpg,,https://www.coca-colaentuhogar.com/bebida-base-de-soya-ades-con-jugo-de-manzana-200-ml-carton.html,,,,,Bebida de Soya sabor Manzana AdeS 200 ml,configurable,,"Catalog, Search",,,,200 ml,Carton,AdeS,Manzana
225,Bebida base de soya AdeS con jugo de manzana 200 ml 4 Tetra Bricks,"68, 69, 85, 125, 126, 978, 981",,https://www.coca-colaentuhogar.com/media/catalog/product/7/5/7501005114509_0_1.jpg,,https://www.coca-colaentuhogar.com/bebida-base-de-soya-ades-con-jugo-de-manzana-200-ml-carton.html,,,"[""c01"", ""c02"", ""c04"", ""c100"", ""c107"", ""c109"", ""c112"", ""c113"", ""c114"", ""c115"", ""c116"", ""c117"", ""c118"", ""c120"", ""c122"", ""c127"", ""c128"", ""c131"", ""c135"", ""c26"", ""c28"", ""c29"", ""c30"", ""c31"", ""c32"", ""c33"", ""c34"", ""c35"", ""c36"", ""c37"", ""c38"", ""c39"", ""c40"", ""c41"", ""c42"", ""c43"", ""c44"", ""c46"", ""c48"", ""c49"", ""c50"", ""c94"", ""c95"", ""c97"", ""c98"", ""c99""]",,Bebida de Soya sabor Manzana AdeS 200 ml 4 cajas,simple,224,Not Visible Individually,4 Tetra Bricks,In stock,99999,200 ml,Carton,AdeS,Manzana
226,Bebida base de soya AdeS con jugo de manzana 946 ml,"68, 69, 121, 129",,https://www.coca-colaentuhogar.com/media/catalog/product/p/s/ps-ades-manzana-946ml-carton_2_5.jpg,,https://www.coca-colaentuhogar.com/bebida-base-de-soya-ades-con-jugo-de-manzana-946-ml.html,,,,,Bebida de Soya sabor Manzana AdeS 946 ml,configurable,,"Catalog, Search",,,,946 ml,Carton,AdeS,Manzana
227,Bebida base de soya AdeS con jugo de manzana 946 ml 3 Tetra Bricks,"68, 69, 121, 129",,https://www.coca-colaentuhogar.com/media/catalog/product/p/s/ps-ades-manzana-946ml-carton_2_5.jpg,,https://www.coca-colaentuhogar.com/bebida-base-de-soya-ades-con-jugo-de-manzana-946-ml.html,,,"[""c01"", ""c02"", ""c100"", ""c102"", ""c103"", ""c104"", ""c105"", ""c106"", ""c107"", ""c108"", ""c109"", ""c110"", ""c111"", ""c112"", ""c113"", ""c114"", ""c115"", ""c117"", ""c118"", ""c119"", ""c120"", ""c121"", ""c122"", ""c123"", ""c124"", ""c125"", ""c126"", ""c127"", ""c128"", ""c129"", ""c130"", ""c131"", ""c132"", ""c133"", ""c134"", ""c135"", ""c26"", ""c28"", ""c29"", ""c30"", ""c31"", ""c32"", ""c33"", ""c34"", ""c35"", ""c36"", ""c37"", ""c38"", ""c39"", ""c40"", ""c41"", ""c42"", ""c43"", ""c44"", ""c46"", ""c47"", ""c48"", ""c49"", ""c50"", ""c91"", ""c92"", ""c93"", ""c94"", ""c95"", ""c96"", ""c97"", ""c98"", ""c99""]",,Bebida de Soya sabor Manzana AdeS 946 ml 3 cajas,simple,226,Not Visible Individually,3 Tetra Bricks,In stock,99999,946 ml,Carton,AdeS,Manzana
230,Refresco Coca-Cola con Cafe Espresso 235 ml,59,,https://www.coca-colaentuhogar.com/media/catalog/product/c/o/coca-cola_caf_espresso_235ml_2.jpg,,https://www.coca-colaentuhogar.com/refresco-coca-cola-con-cafe-235-ml-aluminio.html,,,,,Coca-Cola Cafe 235 ml,configurable,,"Catalog, Search",,,,235 ml,Aluminio,Coca-Cola con Cafe,Cafe Espresso
231,Refresco Coca-Cola con Cafe 235 ml 6 Latas,59,,https://www.coca-colaentuhogar.com/media/catalog/product/c/o/coca-cola_caf_espresso_235ml_2_1_1.jpg,,https://www.coca-colaentuhogar.com/refresco-coca-cola-con-cafe-235-ml-aluminio.html,,,"[""c04""]",,Coca-Cola Cafe 235 ml 6 Latas,simple,230,Not Visible Individually,6 Latas,In stock,9999997,235 ml,Aluminio,Coca-Cola con Cafe,Cafe Espresso
